path,type,likely_timeline,likely_stage,purpose,key_evidence,release_grade_evidence,historical_or_exploratory_only,superseded,cite_in_final_paper,caveats,confidence
docs/EXPERIMENT_005_KVPRESS_KNORM.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_006A_DIVERGENCE_ANALYSIS.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_006C_BOUNDARY_DEPTH_ABLATION.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_006_LAYER_AWARE_V.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_007_SERVING_CONTEXT.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_008_TURBOQUANT_PYTHON.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_009_KIVI_OFFLINE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_010_KVQUANT_SIM.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_011_LARGER_MODEL_VALIDATION.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_012_EVAL_SUITE_EXPANSION.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_013_SENSITIVITY_FORENSICS.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_014_REAL_BACKEND_SPOTCHECKS.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_015_QWEN15B_V10_SUITES.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_016_QWEN3B_V10_SUITES.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_017_SERVING_SIDECAR_PROBE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_018_GPU_MEMORY_PILOT.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_019_DIVERGENCE_AUTOPSY.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_020_REPAIR_POLICY_PILOT.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_022_TURBOQUANT_LLAMACPP_PROBE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_023_KVQUANT_LARGER_MODEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_024_KIVI_CUDA_TRITON_FEASIBILITY.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_025_FULL_SUITE_REPAIR_POLICY.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_026_ATTENTION_LOGGING_FEASIBILITY.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_027_PERFORMANCE_MEMORY_TRUTH_BOUNDARY.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_028_SPAN_VERIFICATION_DESIGN.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_028_SPAN_VERIFICATION_SMOKE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_029_SPAN_VERIFICATION_GRID.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_030B_SPAN_PARITY_INVESTIGATION.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_030_DIAGNOSTIC_TIMING.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_031_GPU_MEMORY_ISOLATION.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_032B_SNAPKV_EXPERIMENTAL_SMOKE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_032_ADDENDUM_SHARD_SPECTRALQUANT.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_032_SNAPKV_SHARDKV_FEASIBILITY.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_033_LLAMA31_8B_SMALL_SUITE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_034B_SEMANTIC_CORRECTION_SEARCH.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_034_KILLER_CORRECTION_DEMO.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_035_VISUAL_PLOTS_AND_LEADERBOARD.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_037_LONGBENCH_STYLE_DRIFT_DEMO.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_038_SHARD_EXTERNAL_DRAFTER_PROBE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_039_SHARD_EXTERNAL_STRESS_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_040_SHARD_EXTERNAL_ABLATION.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_041_SHARD_COMBINED_STRESS.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_042_SPECTRALQUANT_PROBE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_043_SPECTRALQUANT_REAL_KV_SMOKE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_044_SPECTRALQUANT_ADAPTER_SMOKE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_045_SPECTRALQUANT_RESTRICTED_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_046_FULL_KV_RESTORE_SMOKE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_047_FULL_KV_RESTORE_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_048_OFFLINE_VERIFIER_RESTORE_SMOKE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_049_OFFLINE_VERIFIER_LOSSY_DRAFT.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_050_OFFLINE_RESTORED_VERIFIER_DRIFT_STRESS.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_051_OFFLINE_VERIFIER_CUDA_DRIFT_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_052_RESTORED_VERIFIER_RUNNER_SMOKE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_053_RESTORED_VERIFIER_RUNNER_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_054_EXPERIMENTAL_RESTORED_VERIFIER_RUNTIME.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_055_EXPERIMENTAL_RESTORED_VERIFIER_CLI.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_056_CUDA_RESTORED_VERIFIER_RUNTIME_GATE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_057_GPU_MEMORY_ACCOUNTING.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_058_EXPANDED_GPU_MEMORY_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_059_VLLM_FEASIBILITY_PROBE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_060_VLLM_VENV_FEASIBILITY.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_061_VLLM_VERSION_SWEEP.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_062_VLLM_CONTAINER_FEASIBILITY.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_063_VLLM_API_SURFACE_RECON.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_064_VLLM_KV_VISIBILITY_PROBE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_065_IDLE_VLLM_OBJECT_KV_PROBE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_066_STREAMING_QUANT_ATTENTION_FEASIBILITY.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_067_HF_SINGLE_LAYER_ATTENTION_DRIFT.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_068_QWEN_ROPE_LONG_CONTEXT_ATTENTION_PROBE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_069_MULTILAYER_ATTENTION_DRIFT_ACCUMULATION.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_070_STREAMING_MULTILAYER_NUMERICS_AUDIT.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_071_FULL_PREFIX_LOGIT_DRIFT_SMOKE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_072_FULL_DEPTH_DIVERGENCE_TRACE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_073_QWEN_FAMILY_DIVERGENCE_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_074_ATTENTION_TOLERANCE_POLICY_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_075_GENERATION_SHADOW_WIRING_REVIEW.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_076_GENERATION_SHADOW_OBSERVER_SMOKE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_077_GENERATION_SHADOW_PROMPT_PLUS_GENERATED_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_078_GENERATION_SHADOW_EXPANDED_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_079_DECODE_PREFIX_LADDER_SHADOW_OBSERVER.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_080_ROUND_LOG_SHADOW_OBSERVER.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_081_LIVE_ROUND_OBSERVER_SMOKE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_082_LIVE_OBSERVER_SHADOW_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_083_GUARDED_DECODE_TIME_SHADOW_SMOKE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_084_GUARDED_DECODE_TIME_SHADOW_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_085_PHASE16_CLOSEOUT_SUMMARY.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_086_CLAIM_SAFE_DEMO_PACKAGING.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_087_BROADER_MODEL_VALIDATION_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_088_LONG_CONTEXT_VALIDATION_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_089_INTEGRATION_DESIGN_REVIEW.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_090_INTEGRATION_SAFETY_SPEC.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_091_GUARDED_DRAFT_SHADOW_NO_COMMIT_SCAFFOLD.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_092_GUARDED_DRAFT_SHADOW_PANEL_VALIDATION.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_093_SHADOW_TOP1_EXTRACTION_HARDENING.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_094_SHADOW_PROPOSAL_PROVENANCE_AUDIT.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_095_ROUND_LOG_DRAFT_PROPOSAL_SOURCE.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_096_ROUND_LOG_PROPOSAL_SOURCE_COMPARISON_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_097_L3_PROMOTED_SOURCE_VALIDATION.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_098_PRE_L4_SAFETY_GATE_REVIEW.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_099_L4_VERIFIER_MEDIATED_DESIGN_SPEC.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_100_L4_CONTRACT_TESTS_NO_RUNTIME.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_101_L4_INTEGRATION_PLAN_REVIEW.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_102_L4_NOOP_OPT_IN_SCAFFOLD.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_103_L4_NOOP_SCAFFOLD_PANEL_VALIDATION.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_104_L4_TRACE_ONLY_DRY_RUN_DESIGN.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_105_L4_TRACE_ONLY_DRY_RUN_SCAFFOLD.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_106_L4_TRACE_ONLY_DRY_RUN_PANEL_VALIDATION.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_107_L4_VERIFIER_EVIDENCE_TRACE_SCHEMA_DESIGN.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_108_L4_VERIFIER_EVIDENCE_TRACE_SCHEMA_SCAFFOLD.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_109_L4_VERIFIER_TRACE_SCHEMA_EXAMPLE_VALIDATION.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_110_L4_TRACE_SCHEMA_ADVERSARIAL_INJECTION_PANEL.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_111_L4_VERIFIER_RUNTIME_INSTRUMENTATION_DESIGN.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
